date,phase,game,away,home,actual_total,tc_line,market_total,pick,signal,result,notes
,ROUND1,OKC vs PHX G1,,,253,182,215.5,UNDER 215.5,UNDER,LOSS,
,ROUND1,OKC vs PHX G2,,,209,182,215.5,UNDER 215.5,UNDER,LOSS,
,ROUND1,OKC vs PHX G3,,,227,182,215.5,UNDER 215.5,UNDER,LOSS,
,ROUND1,OKC vs PHX G4,,,212,182,215.5,UNDER 215.5,UNDER,LOSS,
,ROUND1,SAS vs POR G1,,,209,199,216,UNDER 216,UNDER,LOSS,
,ROUND1,SAS vs POR G2,,,218,199,216,UNDER 216,UNDER,LOSS,
,ROUND1,SAS vs POR G3,,,211,199,216,UNDER 216,UNDER,LOSS,
,ROUND1,SAS vs POR G4,,,225,199,216,UNDER 216,UNDER,LOSS,
,ROUND1,SAS vs POR G5,,,214,199,216,UNDER 216,UNDER,LOSS,
,ROUND1,MIN vs DEN G1,,,221,,,,,,
,ROUND1,MIN vs DEN G2,,,233,,,,,,
,ROUND1,MIN vs DEN G3,,,198,,,,,,
,ROUND1,MIN vs DEN G4,,,230,,,,,,
,ROUND1,MIN vs DEN G5,,,208,,,,,,
,ROUND1,MIN vs DEN G6,,,208,,,,,,
,ROUND1,MIN vs DEN G7,,,208,,,,,,
,ROUND1,LAL vs HOU G1,,,205,,,,,,
,ROUND1,LAL vs HOU G2,,,195,,,,,,
,ROUND1,LAL vs HOU G3,,,211,,,,,,
,ROUND1,LAL vs HOU G4,,,212,,,,,,
,ROUND1,LAL vs HOU G5,,,202,,,,,,
,ROUND1,LAL vs HOU G6,,,176,,,,,,
,ROUND1,DET vs ORL G1,,,196,,,,,,
,ROUND1,DET vs ORL G2,,,206,,,,,,
,ROUND1,DET vs ORL G3,,,184,,,,,,
,ROUND1,DET vs ORL G4,,,200,,,,,,
,ROUND1,DET vs ORL G5,,,206,,,,,,
,ROUND1,DET vs ORL G6,,,203,,,,,,
,ROUND1,DET vs ORL G7,,,198,,,,,,
,ROUND1,CLE vs TOR G1,,,216,,,,,,
,ROUND1,CLE vs TOR G2,,,211,,,,,,
,ROUND1,CLE vs TOR G3,,,245,,,,,,
,ROUND1,CLE vs TOR G4,,,193,,,,,,
,ROUND1,CLE vs TOR G5,,,236,,,,,,
,ROUND1,CLE vs TOR G6,,,245,,,,,,
,ROUND1,CLE vs TOR G7,,,225,,,,,,
,ROUND1,NYK vs ATL G1,,,205,,,,,,
,ROUND1,NYK vs ATL G2,,,212,,,,,,
,ROUND1,NYK vs ATL G3,,,230,,,,,,
,ROUND1,NYK vs ATL G4,,,183,,,,,,
,ROUND1,NYK vs ATL G5,,,239,,,,,,
,ROUND1,NYK vs ATL G6,,,229,,,,,,
,ROUND1,BOS vs PHI G1,,,214,,,,,,
,ROUND1,BOS vs PHI G2,,,208,,,,,,
,ROUND1,BOS vs PHI G3,,,193,,,,,,
,ROUND1,BOS vs PHI G4,,,224,,,,,,
,ROUND1,BOS vs PHI G5,,,210,,,,,,
,ROUND1,BOS vs PHI G6,,,199,,,,,,
,ROUND1,BOS vs PHI G7,,,209,,,,,,
,ROUND2,LAL vs OKC G1,,,218,,,,,,
,ROUND2,LAL vs OKC G2,,,208,,,,,,
,ROUND2,LAL vs OKC G3,,,212,,,,,,
,ROUND2,LAL vs OKC G4,,,198,,,,,,
,ROUND2,MIN vs SA G1,,,222,,,,,,
,ROUND2,MIN vs SA G2,,,216,,,,,,
,ROUND2,MIN vs SA G3,,,225,,,,,,
,ROUND2,MIN vs SA G4,,,212,,,,,,
,ROUND2,MIN vs SA G5,,,210,,,,,,
,ROUND2,MIN vs SA G6,,,215,,,,,,
,ROUND2,CLE vs DET G1,,,211,,,,,,
,ROUND2,CLE vs DET G2,,,215,,,,,,
,ROUND2,CLE vs DET G3,,,219,,,,,,
,ROUND2,CLE vs DET G4,,,206,,,,,,
,ROUND2,CLE vs DET G5,,,218,,,,,,
,ROUND2,BOS vs NYK G1,,,215,,,,,,
,ROUND2,BOS vs NYK G2,,,218,,,,,,
,ROUND2,BOS vs NYK G3,,,222,,,,,,
,ROUND2,BOS vs NYK G4,,,208,,,,,,
,ROUND2,BOS vs NYK G5,,,228,,,,,,
,CONF FINALS,SA vs OKC G1,,,238,,,,,,
,CONF FINALS,SA vs OKC G2,,,228,,,,,,
,CONF FINALS,CLE vs NYK G1,,,219,,,,,,
