player,team,box_team,stat,target,book,edge,actual,result,hit
Donovan Mitchell,CLE,CLE,PTS,18.0,24.5,6.5,29,MISS,False
Evan Mobley,CLE,CLE,PTS,13.0,18.0,5.0,15,UNDER_HIT,True
Evan Mobley,CLE,CLE,REB,6.0,9.0,3.0,14,MISS,False
Jarrett Allen,CLE,CLE,PTS,10.0,14.0,4.0,10,UNDER_HIT,True
Jarrett Allen,CLE,CLE,REB,5.0,8.0,3.0,7,UNDER_HIT,True
Max Strus,CLE,CLE,PTS,9.0,12.5,3.5,8,UNDER_HIT,True
Mikal Bridges,NYK,NY,PTS,15.0,21.0,6.0,18,UNDER_HIT,True
Josh Hart,NYK,NY,PTS,11.0,15.5,4.5,13,UNDER_HIT,True
Karl-Anthony Towns,NYK,NY,PTS,18.0,25.0,7.0,13,UNDER_HIT,True
Karl-Anthony Towns,NYK,NY,REB,9.0,12.5,3.5,13,MISS,False
Jalen Brunson,NYK,NY,PTS,10.0,24.5,14.5,38,MISS,False
Jalen Brunson,NYK,NY,AST,2.0,6.5,4.5,6,UNDER_HIT,True
Miles McBride,NYK,NY,PTS,7.0,10.5,3.5,0,UNDER_HIT,True
OG Anunoby,NYK,NY,PTS,13.0,17.5,4.5,13,UNDER_HIT,True
Darius Garland,CLE,CLE,PTS,14.0,20.0,6.0,VOID,VOID_NO_BOX,
Isaac Okoro,CLE,CLE,PTS,7.0,10.0,3.0,VOID,VOID_NO_BOX,
Georges Niang,CLE,CLE,PTS,6.0,9.0,3.0,VOID,VOID_NO_BOX,
Caris LeVert,CLE,CLE,PTS,4.0,11.5,7.5,VOID,VOID_NO_BOX,
