team,team_name,player,pos,min,pts,reb,ast,3pm,fg,3pt,ft
CLE,Cleveland Cavaliers,Dean Wade,F,29,10,5,3,3,3-5,3-5,1-1
CLE,Cleveland Cavaliers,Jarrett Allen,C,35,10,7,3,0,3-6,0-0,4-8
CLE,Cleveland Cavaliers,Evan Mobley,C,40,15,14,3,2,6-16,2-8,1-2
CLE,Cleveland Cavaliers,James Harden,G,42,15,4,3,1,5-16,1-8,4-6
CLE,Cleveland Cavaliers,Donovan Mitchell,G,41,29,5,3,4,12-23,4-11,1-1
CLE,Cleveland Cavaliers,Dennis Schroder,G,18,3,0,5,1,1-9,1-4,0-0
CLE,Cleveland Cavaliers,Max Strus,G,25,8,2,1,2,2-6,2-6,2-2
CLE,Cleveland Cavaliers,Sam Merrill,G,28,12,1,2,3,4-9,3-8,1-1
CLE,Cleveland Cavaliers,Keon Ellis,G,5,2,0,0,0,0-0,0-0,2-2
CLE,Cleveland Cavaliers,Larry Nance Jr.,F,0,0,0,0,0,,,
CLE,Cleveland Cavaliers,Nae'Qwan Tomlin,F,0,0,0,0,0,,,
CLE,Cleveland Cavaliers,Thomas Bryant,C,0,0,0,0,0,,,
CLE,Cleveland Cavaliers,Jaylon Tyson,G,0,0,0,0,0,,,
CLE,Cleveland Cavaliers,Craig Porter Jr.,G,0,0,0,0,0,,,
CLE,Cleveland Cavaliers,Tyrese Proctor,G,0,0,0,0,0,,,
NY,New York Knicks,OG Anunoby,F,34,13,5,2,1,2-9,1-6,8-10
NY,New York Knicks,Karl-Anthony Towns,C,40,13,13,5,1,6-14,1-5,0-0
NY,New York Knicks,Josh Hart,G,31,13,7,4,1,5-11,1-5,2-2
NY,New York Knicks,Mikal Bridges,G,42,18,5,1,2,7-11,2-4,2-2
NY,New York Knicks,Jalen Brunson,G,46,38,5,6,1,15-29,1-6,7-10
NY,New York Knicks,Mitchell Robinson,C,14,4,6,1,0,1-3,0-0,2-8
NY,New York Knicks,Jordan Clarkson,G,16,3,2,0,1,1-3,1-1,0-0
NY,New York Knicks,Landry Shamet,G,17,9,1,0,3,3-4,3-3,0-0
NY,New York Knicks,Jose Alvarado,G,7,4,1,0,0,2-3,0-1,0-0
NY,New York Knicks,Miles McBride,G,17,0,2,1,0,0-1,0-1,0-0
NY,New York Knicks,Jeremy Sochan,F,0,0,0,0,0,,,
NY,New York Knicks,Pacome Dadiet,F,0,0,0,0,0,,,
NY,New York Knicks,Mohamed Diawara,F,0,0,0,0,0,,,
NY,New York Knicks,Ariel Hukporti,C,0,0,0,0,0,,,
NY,New York Knicks,Tyler Kolek,G,0,0,0,0,0,,,
