sport,date,round,matchup,market_total,actual_total,tc_combined,tc_line,edge,signal,result,away_rows,home_rows,source
NBA,"May 3, 2026",R1 G7,ORL@DET,208.5,210,237,269,-32,UNDER,LOSS,17,17,live ESPN NBA roster/stat/scoreboard APIs
NBA,"May 3, 2026",R1 G7,BOS@PHI,215.5,209,248.3,279,-30.7,UNDER,WIN,16,17,live ESPN NBA roster/stat/scoreboard APIs
NBA,"May 3, 2026",R1 G7,CLE@TOR,218.5,245,246.3,284,-37.7,UNDER,LOSS,18,17,live ESPN NBA roster/stat/scoreboard APIs
NBA,"May 3, 2026",R1 G7,HOU@LAL,218.0,190,224.4,304,-79.6,UNDER,WIN,17,17,live ESPN NBA roster/stat/scoreboard APIs
NBA,"May 2, 2026",R1 G7,MIN@DEN,222.5,208,253.1,293,-39.9,UNDER,WIN,18,18,live ESPN NBA roster/stat/scoreboard APIs
NBA,"May 6, 2026",S1 G1,NYK@PHI,213.5,210,287.8,299,-11.2,UNDER,WIN,18,17,live ESPN NBA roster/stat/scoreboard APIs
NBA,"May 6, 2026",S1 G1,SAS@MIN,215.5,228,262.9,295,-32.1,UNDER,LOSS,18,18,live ESPN NBA roster/stat/scoreboard APIs
NBA,"May 8, 2026",S1 G3,CLE@DET,211.5,204,279.5,291,-11.5,UNDER,WIN,18,17,live ESPN NBA roster/stat/scoreboard APIs
NBA,"May 8, 2026",S1 G3,LAL@OKC,210.5,226,255.1,297,-41.9,UNDER,LOSS,17,18,live ESPN NBA roster/stat/scoreboard APIs
WNBA,2025-10-10,FINALS G1,LV@NY,160.5,161,173.4,230,-56.6,UNDER,LOSS,12,16,live ESPN WNBA roster/stat/scoreboard APIs
WNBA,2025-10-12,FINALS G2,LV@NY,158.5,157,173.4,230,-56.6,UNDER,WIN,12,16,live ESPN WNBA roster/stat/scoreboard APIs
WNBA,2025-10-15,FINALS G3,NY@LV,163.5,161,173.4,230,-56.6,UNDER,WIN,16,12,live ESPN WNBA roster/stat/scoreboard APIs
WNBA,2025-10-17,FINALS G4,NY@LV,172.5,176,173.4,230,-56.6,UNDER,LOSS,16,12,live ESPN WNBA roster/stat/scoreboard APIs
WNBA,2025-10-20,FINALS G5,LV@NY,169.5,170,173.4,230,-56.6,UNDER,LOSS,12,16,live ESPN WNBA roster/stat/scoreboard APIs
WNBA,2025-10-23,FINALS G6,NY@LV,164.5,163,173.4,230,-56.6,UNDER,WIN,16,12,live ESPN WNBA roster/stat/scoreboard APIs
WNBA,2024-10-10,FINALS G1,NY@LV,170.5,179,173.4,230,-56.6,UNDER,LOSS,16,12,live ESPN WNBA roster/stat/scoreboard APIs
WNBA,2024-10-13,FINALS G2,NY@LV,162.5,162,173.4,230,-56.6,UNDER,WIN,16,12,live ESPN WNBA roster/stat/scoreboard APIs
WNBA,2024-10-16,FINALS G3,LV@NY,171.5,173,173.4,230,-56.6,UNDER,LOSS,12,16,live ESPN WNBA roster/stat/scoreboard APIs
WNBA,2024-10-20,FINALS G4,LV@NY,157.5,157,173.4,230,-56.6,UNDER,WIN,12,16,live ESPN WNBA roster/stat/scoreboard APIs
WNBA,2024-10-24,FINALS G5,NY@LV,155.5,154,173.4,230,-56.6,UNDER,WIN,16,12,live ESPN WNBA roster/stat/scoreboard APIs
